borrower_id,segment,gst_sentiment,call_sentiment,gst_delay_flag,call_stress_flag,unstructured_risk_score,gst_filing_notes,collection_call_notes,label_bankrupt
MSME00010,MSME,-0.5267,0.0,0,0,0.5317,Regular GST compliance maintained. No late filing flags in Jan. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Feb.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00011,MSME,-0.7783,0.5903,0,0,0.506,Steady monthly turnover reported in GST filings; no anomalies for Mar. || Regular GST compliance maintained. No late filing flags in Sep. || Steady monthly turnover reported in GST filings; no anomalies for May. || Regular GST compliance maintained. No late filing flags in Apr.,Courtesy call completed. No stress indicators noted.,0
MSME00012,MSME,-0.6808,0.8398,0,1,0.5442,Steady monthly turnover reported in GST filings; no anomalies for Jun. || Steady monthly turnover reported in GST filings; no anomalies for Sep. || Regular GST compliance maintained. No late filing flags in Feb. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.",0
MSME00013,MSME,0.0,0.0,0,0,0.4,GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Dec. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || GST return for Jan filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00014,MSME,-0.6808,0.8525,0,1,0.5423,Regular GST compliance maintained. No late filing flags in Aug. || Regular GST compliance maintained. No late filing flags in Sep. || Steady monthly turnover reported in GST filings; no anomalies for Dec.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00015,MSME,-0.296,0.8398,0,1,0.448,GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00016,MSME,-0.6808,0.5903,0,0,0.4817,Steady monthly turnover reported in GST filings; no anomalies for Jan. || GST return for Dec filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Feb. || Regular GST compliance maintained. No late filing flags in Apr.,Courtesy call completed. No stress indicators noted.,0
MSME00017,MSME,-0.296,0.0,0,0,0.474,Steady monthly turnover reported in GST filings; no anomalies for May. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00018,MSME,-0.7783,0.0,0,0,0.5946,Regular GST compliance maintained. No late filing flags in Feb. || Steady monthly turnover reported in GST filings; no anomalies for Mar. || Steady monthly turnover reported in GST filings; no anomalies for Aug. || Steady monthly turnover reported in GST filings; no anomalies for Apr.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00019,MSME,-0.5267,0.8255,0,0,0.4078,Steady monthly turnover reported in GST filings; no anomalies for May. || Steady monthly turnover reported in GST filings; no anomalies for May.,Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
MSME00020,MSME,-0.6808,0.8398,0,1,0.5442,Steady monthly turnover reported in GST filings; no anomalies for Dec. || Regular GST compliance maintained. No late filing flags in Mar. || Regular GST compliance maintained. No late filing flags in May. || GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00021,MSME,-0.2263,-0.9118,1,1,0.7933,"Nil/near-nil turnover reported in Sep GST return, inconsistent with loan ticket size. || GSTR-3B filing delayed by 23 days for Mar. Late fee applicable. || Nil/near-nil turnover reported in Jul GST return, inconsistent with loan ticket size.",Borrower requested EMI deferment citing cash flow stress. || Complaint logged: borrower disputes penalty charges amid repayment difficulty. || Field visit report notes shutdown/reduced operations at business premises.,0
MSME00022,MSME,-0.296,0.5903,0,0,0.3855,GST return for Nov filed within due date. ITC claims reconciled. || GST return for Apr filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Jul.,Courtesy call completed. No stress indicators noted.,0
MSME00023,MSME,-0.296,0.8398,0,1,0.448,GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Feb.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00024,MSME,-0.296,0.5903,0,0,0.3855,GST return for Apr filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in May. || GST return for Aug filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted.,0
MSME00025,MSME,0.0,0.8255,0,0,0.2762,GST return for Jan filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || GST return for Mar filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00026,MSME,-0.296,0.0,0,0,0.474,GST return for Dec filed within due date. ITC claims reconciled. || GST return for Apr filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Sep. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00027,MSME,-0.296,0.5903,0,0,0.3855,GST return for Jan filed within due date. ITC claims reconciled. || GST return for Mar filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Mar.,Courtesy call completed. No stress indicators noted.,0
MSME00028,MSME,-0.5267,0.6319,0,1,0.5369,GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Dec. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Jun.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00029,MSME,-0.4215,0.6319,1,1,0.6106,GSTR-3B filing delayed by 30 days for May. Late fee applicable. || GSTR-3B filing delayed by 30 days for Apr. Late fee applicable.,"Borrower reachable, no dispute raised, account in good standing.",1
MSME00030,MSME,-0.6808,-0.4215,1,1,0.8334,Regular GST compliance maintained. No late filing flags in Mar. || Regular GST compliance maintained. No late filing flags in Mar. || GST return for Jul filed after due date; ITC mismatch flagged. || Regular GST compliance maintained. No late filing flags in Nov.,Borrower requested restructuring due to declining order book. || Borrower requested EMI deferment citing cash flow stress. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,1
MSME00031,MSME,-0.5267,0.8525,0,1,0.5038,Regular GST compliance maintained. No late filing flags in May. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Nov.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00032,MSME,-0.296,0.0,0,0,0.474,Steady monthly turnover reported in GST filings; no anomalies for Jun. || GST return for Nov filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00033,MSME,-0.296,0.6319,0,1,0.4792,GST return for Oct filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Oct.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00034,MSME,-0.296,0.8398,0,1,0.448,GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Jul. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00035,MSME,-0.5106,-0.9022,1,1,0.863,Regular GST compliance maintained. No late filing flags in Dec. || GST return for Jun filed after due date; ITC mismatch flagged. || GST return for Nov filed within due date. ITC claims reconciled. || Repeated late filing pattern observed for Sep; compliance risk noted.,Borrower unresponsive to last two collection calls. || Call escalated - borrower reported delay in receivables from customers. || Complaint logged: borrower disputes penalty charges amid repayment difficulty.,0
MSME00036,MSME,0.0,0.8525,0,1,0.3721,GST return for Oct filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00037,MSME,-0.6808,0.8255,0,0,0.4464,GST return for Nov filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Aug. || Regular GST compliance maintained. No late filing flags in Aug. || Steady monthly turnover reported in GST filings; no anomalies for Sep.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME00038,MSME,-0.5267,0.0,0,0,0.5317,GST return for Nov filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Feb. || GST return for Nov filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Apr.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00039,MSME,-0.6808,0.8525,0,1,0.5423,Steady monthly turnover reported in GST filings; no anomalies for Feb. || Regular GST compliance maintained. No late filing flags in Jul. || Steady monthly turnover reported in GST filings; no anomalies for Dec.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00040,MSME,-0.7783,0.0,0,0,0.5946,Steady monthly turnover reported in GST filings; no anomalies for Feb. || Regular GST compliance maintained. No late filing flags in Apr. || Steady monthly turnover reported in GST filings; no anomalies for Dec. || Regular GST compliance maintained. No late filing flags in Jan.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00041,MSME,-0.5267,0.8398,0,1,0.5057,GST return for Sep filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Aug. || Steady monthly turnover reported in GST filings; no anomalies for Sep.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00042,MSME,-0.5267,0.8525,0,1,0.5038,Steady monthly turnover reported in GST filings; no anomalies for May. || Regular GST compliance maintained. No late filing flags in Nov.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00043,MSME,0.0,0.0,0,0,0.4,GST return for Jun filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00044,MSME,-0.6808,0.6319,0,1,0.5754,Regular GST compliance maintained. No late filing flags in Dec. || Steady monthly turnover reported in GST filings; no anomalies for Feb. || GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Sep.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00045,MSME,-0.4767,0.0,1,1,0.7192,GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || GSTR-3B filing delayed by 30 days for Oct. Late fee applicable. || Steady monthly turnover reported in GST filings; no anomalies for May.,Borrower requested restructuring due to declining order book. || Field visit report notes shutdown/reduced operations at business premises.,0
MSME00046,MSME,-0.296,0.5903,0,0,0.3855,Steady monthly turnover reported in GST filings; no anomalies for May. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || GST return for Jul filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted.,0
MSME00047,MSME,-0.296,0.8398,0,1,0.448,Steady monthly turnover reported in GST filings; no anomalies for Mar. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00048,MSME,-0.296,0.6319,0,1,0.4792,GST return for Jan filed within due date. ITC claims reconciled. || GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Apr.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00049,MSME,-0.296,0.6319,0,1,0.4792,GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Feb. || GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00050,MSME,-0.6808,0.6319,0,1,0.5754,Regular GST compliance maintained. No late filing flags in Jan. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Oct. || Regular GST compliance maintained. No late filing flags in Apr.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00051,MSME,-0.296,0.0,0,0,0.474,GST return for Aug filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Jun. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || GST return for Mar filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00052,MSME,-0.6808,0.8398,0,1,0.5442,Steady monthly turnover reported in GST filings; no anomalies for Nov. || Regular GST compliance maintained. No late filing flags in Jul. || Regular GST compliance maintained. No late filing flags in Feb.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00053,MSME,-0.296,0.0,0,0,0.474,GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jun. || GST return for Nov filed within due date. ITC claims reconciled. || GST return for Feb filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00054,MSME,0.0,0.0,1,1,0.6,"GST return for Feb filed after due date; ITC mismatch flagged. || Turnover declared in Dec filing dropped sharply versus prior period. || Nil/near-nil turnover reported in Nov GST return, inconsistent with loan ticket size.",Borrower requested restructuring due to declining order book. || Borrower unresponsive to last two collection calls.,1
MSME00055,MSME,-0.5106,0.0,1,1,0.7276,Regular GST compliance maintained. No late filing flags in May. || Repeated late filing pattern observed for Aug; compliance risk noted.,Borrower unresponsive to last two collection calls.,1
MSME00056,MSME,0.0,0.0,1,1,0.6,GST return for Apr filed after due date; ITC mismatch flagged. || GST return for May filed within due date. ITC claims reconciled.,Field visit report notes shutdown/reduced operations at business premises. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,1
MSME00057,MSME,-0.2732,-0.5574,1,1,0.7519,Turnover declared in Jul filing dropped sharply versus prior period. || Repeated late filing pattern observed for Nov; compliance risk noted.,Call escalated - borrower reported delay in receivables from customers. || Call escalated - borrower reported delay in receivables from customers. || Field visit report notes shutdown/reduced operations at business premises.,1
MSME00058,MSME,-0.5267,0.6319,0,1,0.5369,Steady monthly turnover reported in GST filings; no anomalies for Jun. || GST return for Dec filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Jun. || GST return for May filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00059,MSME,-0.6808,0.6319,0,1,0.5754,Regular GST compliance maintained. No late filing flags in Dec. || Regular GST compliance maintained. No late filing flags in Apr. || Steady monthly turnover reported in GST filings; no anomalies for Dec.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00060,MSME,0.0,0.8255,0,0,0.2762,GSTR-3B filed on schedule for May. Turnover consistent with prior quarter. || GST return for Apr filed within due date. ITC claims reconciled. || GST return for Apr filed within due date. ITC claims reconciled. || GST return for Mar filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
MSME00061,MSME,-0.296,0.5903,0,0,0.3855,GST return for Sep filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Dec.,Courtesy call completed. No stress indicators noted.,0
MSME00062,MSME,-0.296,0.0,0,0,0.474,GST return for Jan filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Aug. || GST return for Aug filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00063,MSME,-0.296,0.0,0,0,0.474,GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jul. || GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00064,MSME,-0.5267,0.5903,0,0,0.4431,GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Sep. || Regular GST compliance maintained. No late filing flags in Oct.,Courtesy call completed. No stress indicators noted.,0
MSME00065,MSME,-0.296,0.5903,0,0,0.3855,Steady monthly turnover reported in GST filings; no anomalies for Oct. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME00066,MSME,-0.5267,0.5903,0,0,0.4431,Regular GST compliance maintained. No late filing flags in Mar. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,Courtesy call completed. No stress indicators noted.,0
MSME00067,MSME,-0.296,0.0,0,0,0.474,GST return for Apr filed within due date. ITC claims reconciled. || GST return for Dec filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Dec.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00068,MSME,-0.5267,0.8398,0,1,0.5057,Regular GST compliance maintained. No late filing flags in Oct. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Sep.,"Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00069,MSME,0.0,0.6319,0,1,0.4052,GST return for Mar filed within due date. ITC claims reconciled. || GST return for Oct filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00070,MSME,-0.5267,0.8398,0,1,0.5057,Steady monthly turnover reported in GST filings; no anomalies for Dec. || Steady monthly turnover reported in GST filings; no anomalies for May. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME00071,MSME,-0.296,0.5903,0,0,0.3855,Regular GST compliance maintained. No late filing flags in Feb. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || GST return for Nov filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted.,0
MSME00072,MSME,-0.2732,-0.8689,1,1,0.7986,GST return for Sep filed after due date; ITC mismatch flagged. || Repeated late filing pattern observed for Oct; compliance risk noted.,Complaint logged: borrower disputes penalty charges amid repayment difficulty. || Borrower requested restructuring due to declining order book.,0
MSME00073,MSME,-0.5267,0.5903,0,0,0.4431,Steady monthly turnover reported in GST filings; no anomalies for Jul. || Steady monthly turnover reported in GST filings; no anomalies for May.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00074,MSME,-0.296,0.6319,0,1,0.4792,GSTR-3B filed on schedule for Jun. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Nov.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00075,MSME,-0.6808,0.9209,0,1,0.5321,Steady monthly turnover reported in GST filings; no anomalies for Aug. || Regular GST compliance maintained. No late filing flags in Jan. || Regular GST compliance maintained. No late filing flags in May.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME00076,MSME,-0.5267,0.8398,0,1,0.5057,Regular GST compliance maintained. No late filing flags in Oct. || Regular GST compliance maintained. No late filing flags in Dec.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00077,MSME,-0.5267,0.6319,0,1,0.5369,Steady monthly turnover reported in GST filings; no anomalies for Feb. || Regular GST compliance maintained. No late filing flags in Feb.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00078,MSME,-0.5267,0.8398,0,1,0.5057,GST return for Dec filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Jul. || Regular GST compliance maintained. No late filing flags in Aug.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00079,MSME,-0.296,0.8398,0,1,0.448,Regular GST compliance maintained. No late filing flags in Dec. || GST return for Feb filed within due date. ITC claims reconciled. || GST return for Jul filed within due date. ITC claims reconciled. || GST return for Sep filed within due date. ITC claims reconciled.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME00080,MSME,-0.6808,0.9156,0,1,0.5329,Steady monthly turnover reported in GST filings; no anomalies for Nov. || Steady monthly turnover reported in GST filings; no anomalies for Mar. || Steady monthly turnover reported in GST filings; no anomalies for Sep. || GST return for Jun filed within due date. ITC claims reconciled.,"Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00081,MSME,-0.6597,0.8398,1,1,0.639,Regular GST compliance maintained. No late filing flags in Apr. || Repeated late filing pattern observed for Oct; compliance risk noted. || Repeated late filing pattern observed for Jun; compliance risk noted.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",1
MSME00082,MSME,-0.296,0.8398,0,1,0.448,GST return for Oct filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Feb.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00083,MSME,0.0,-0.4215,0,1,0.5632,GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || GST return for Aug filed within due date. ITC claims reconciled.,Borrower requested restructuring due to declining order book. || Borrower requested EMI deferment citing cash flow stress.,0
MSME00084,MSME,-0.296,0.8255,0,0,0.3502,GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Nov. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
