borrower_id,segment,gst_filing_notes,collection_call_notes,label_bankrupt
MSME00032,MSME,Steady monthly turnover reported in GST filings; no anomalies for Jun. || GST return for Nov filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00033,MSME,GST return for Oct filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Oct.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00034,MSME,GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Jul. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00035,MSME,Regular GST compliance maintained. No late filing flags in Dec. || GST return for Jun filed after due date; ITC mismatch flagged. || GST return for Nov filed within due date. ITC claims reconciled. || Repeated late filing pattern observed for Sep; compliance risk noted.,Borrower unresponsive to last two collection calls. || Call escalated - borrower reported delay in receivables from customers. || Complaint logged: borrower disputes penalty charges amid repayment difficulty.,0
MSME00036,MSME,GST return for Oct filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00037,MSME,GST return for Nov filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Aug. || Regular GST compliance maintained. No late filing flags in Aug. || Steady monthly turnover reported in GST filings; no anomalies for Sep.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME00038,MSME,GST return for Nov filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Feb. || GST return for Nov filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Apr.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00039,MSME,Steady monthly turnover reported in GST filings; no anomalies for Feb. || Regular GST compliance maintained. No late filing flags in Jul. || Steady monthly turnover reported in GST filings; no anomalies for Dec.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00040,MSME,Steady monthly turnover reported in GST filings; no anomalies for Feb. || Regular GST compliance maintained. No late filing flags in Apr. || Steady monthly turnover reported in GST filings; no anomalies for Dec. || Regular GST compliance maintained. No late filing flags in Jan.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00041,MSME,GST return for Sep filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Aug. || Steady monthly turnover reported in GST filings; no anomalies for Sep.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00042,MSME,Steady monthly turnover reported in GST filings; no anomalies for May. || Regular GST compliance maintained. No late filing flags in Nov.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00043,MSME,GST return for Jun filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00044,MSME,Regular GST compliance maintained. No late filing flags in Dec. || Steady monthly turnover reported in GST filings; no anomalies for Feb. || GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Sep.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00045,MSME,GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || GSTR-3B filing delayed by 30 days for Oct. Late fee applicable. || Steady monthly turnover reported in GST filings; no anomalies for May.,Borrower requested restructuring due to declining order book. || Field visit report notes shutdown/reduced operations at business premises.,0
MSME00046,MSME,Steady monthly turnover reported in GST filings; no anomalies for May. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || GST return for Jul filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted.,0
MSME00047,MSME,Steady monthly turnover reported in GST filings; no anomalies for Mar. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00048,MSME,GST return for Jan filed within due date. ITC claims reconciled. || GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Apr.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00049,MSME,GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Feb. || GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00050,MSME,Regular GST compliance maintained. No late filing flags in Jan. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Oct. || Regular GST compliance maintained. No late filing flags in Apr.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00051,MSME,GST return for Aug filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Jun. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || GST return for Mar filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00052,MSME,Steady monthly turnover reported in GST filings; no anomalies for Nov. || Regular GST compliance maintained. No late filing flags in Jul. || Regular GST compliance maintained. No late filing flags in Feb.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00053,MSME,GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jun. || GST return for Nov filed within due date. ITC claims reconciled. || GST return for Feb filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00054,MSME,"GST return for Feb filed after due date; ITC mismatch flagged. || Turnover declared in Dec filing dropped sharply versus prior period. || Nil/near-nil turnover reported in Nov GST return, inconsistent with loan ticket size.",Borrower requested restructuring due to declining order book. || Borrower unresponsive to last two collection calls.,1
MSME00055,MSME,Regular GST compliance maintained. No late filing flags in May. || Repeated late filing pattern observed for Aug; compliance risk noted.,Borrower unresponsive to last two collection calls.,1
MSME00056,MSME,GST return for Apr filed after due date; ITC mismatch flagged. || GST return for May filed within due date. ITC claims reconciled.,Field visit report notes shutdown/reduced operations at business premises. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,1
MSME00057,MSME,Turnover declared in Jul filing dropped sharply versus prior period. || Repeated late filing pattern observed for Nov; compliance risk noted.,Call escalated - borrower reported delay in receivables from customers. || Call escalated - borrower reported delay in receivables from customers. || Field visit report notes shutdown/reduced operations at business premises.,1
MSME00058,MSME,Steady monthly turnover reported in GST filings; no anomalies for Jun. || GST return for Dec filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Jun. || GST return for May filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00059,MSME,Regular GST compliance maintained. No late filing flags in Dec. || Regular GST compliance maintained. No late filing flags in Apr. || Steady monthly turnover reported in GST filings; no anomalies for Dec.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00060,MSME,GSTR-3B filed on schedule for May. Turnover consistent with prior quarter. || GST return for Apr filed within due date. ITC claims reconciled. || GST return for Apr filed within due date. ITC claims reconciled. || GST return for Mar filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
MSME00061,MSME,GST return for Sep filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Dec.,Courtesy call completed. No stress indicators noted.,0
MSME00062,MSME,GST return for Jan filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Aug. || GST return for Aug filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00063,MSME,GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jul. || GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00064,MSME,GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Sep. || Regular GST compliance maintained. No late filing flags in Oct.,Courtesy call completed. No stress indicators noted.,0
MSME00065,MSME,Steady monthly turnover reported in GST filings; no anomalies for Oct. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME00066,MSME,Regular GST compliance maintained. No late filing flags in Mar. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,Courtesy call completed. No stress indicators noted.,0
MSME00067,MSME,GST return for Apr filed within due date. ITC claims reconciled. || GST return for Dec filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Dec.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00068,MSME,Regular GST compliance maintained. No late filing flags in Oct. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Sep.,"Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00069,MSME,GST return for Mar filed within due date. ITC claims reconciled. || GST return for Oct filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00070,MSME,Steady monthly turnover reported in GST filings; no anomalies for Dec. || Steady monthly turnover reported in GST filings; no anomalies for May. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME00071,MSME,Regular GST compliance maintained. No late filing flags in Feb. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || GST return for Nov filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted.,0
MSME00072,MSME,GST return for Sep filed after due date; ITC mismatch flagged. || Repeated late filing pattern observed for Oct; compliance risk noted.,Complaint logged: borrower disputes penalty charges amid repayment difficulty. || Borrower requested restructuring due to declining order book.,0
MSME00073,MSME,Steady monthly turnover reported in GST filings; no anomalies for Jul. || Steady monthly turnover reported in GST filings; no anomalies for May.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00074,MSME,GSTR-3B filed on schedule for Jun. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Nov.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00075,MSME,Steady monthly turnover reported in GST filings; no anomalies for Aug. || Regular GST compliance maintained. No late filing flags in Jan. || Regular GST compliance maintained. No late filing flags in May.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME00076,MSME,Regular GST compliance maintained. No late filing flags in Oct. || Regular GST compliance maintained. No late filing flags in Dec.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00077,MSME,Steady monthly turnover reported in GST filings; no anomalies for Feb. || Regular GST compliance maintained. No late filing flags in Feb.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00078,MSME,GST return for Dec filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Jul. || Regular GST compliance maintained. No late filing flags in Aug.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00079,MSME,Regular GST compliance maintained. No late filing flags in Dec. || GST return for Feb filed within due date. ITC claims reconciled. || GST return for Jul filed within due date. ITC claims reconciled. || GST return for Sep filed within due date. ITC claims reconciled.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME00080,MSME,Steady monthly turnover reported in GST filings; no anomalies for Nov. || Steady monthly turnover reported in GST filings; no anomalies for Mar. || Steady monthly turnover reported in GST filings; no anomalies for Sep. || GST return for Jun filed within due date. ITC claims reconciled.,"Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00081,MSME,Regular GST compliance maintained. No late filing flags in Apr. || Repeated late filing pattern observed for Oct; compliance risk noted. || Repeated late filing pattern observed for Jun; compliance risk noted.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",1
MSME00082,MSME,GST return for Oct filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Feb.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00083,MSME,GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || GST return for Aug filed within due date. ITC claims reconciled.,Borrower requested restructuring due to declining order book. || Borrower requested EMI deferment citing cash flow stress.,0
MSME00084,MSME,GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Nov. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
MSME00085,MSME,Steady monthly turnover reported in GST filings; no anomalies for Feb. || GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.",0
MSME00086,MSME,GSTR-3B filed on schedule for Jun. Turnover consistent with prior quarter. || GST return for May filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00087,MSME,Regular GST compliance maintained. No late filing flags in Jul. || Regular GST compliance maintained. No late filing flags in Mar.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00088,MSME,Regular GST compliance maintained. No late filing flags in Oct. || Steady monthly turnover reported in GST filings; no anomalies for Apr.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00089,MSME,GST return for Aug filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Nov. || Steady monthly turnover reported in GST filings; no anomalies for Feb. || GST return for Jun filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted.,0
MSME00090,MSME,GST return for Aug filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Apr. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Apr.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00091,MSME,Steady monthly turnover reported in GST filings; no anomalies for Jan. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Oct.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00092,MSME,Regular GST compliance maintained. No late filing flags in Nov. || GST return for Oct filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Nov.,Courtesy call completed. No stress indicators noted.,0
MSME00093,MSME,GST return for Jan filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || GST return for Oct filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Dec.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00094,MSME,GST return for Mar filed within due date. ITC claims reconciled. || GST return for Sep filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00095,MSME,GST return for Dec filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Feb. || Regular GST compliance maintained. No late filing flags in Feb.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME00096,MSME,GSTR-3B filed on schedule for Jun. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
